Nice, Grenoble, 336, 128
Nice, Aix, 175, 92
Grenoble, Geneva, 151, 78
Grenoble, Lyon, 108, 59
Lyon, Geneva, 157,70
Lyon, Macon, 68, 34
Macon, Dijon, 123, 71
Geneva, Dijon, 197, 93
Paris, Troyes, 153, 88
Troyes, Bale, 331
Bale, Mulhouse, 34
Mulhouse, Strasbourg, 106
Macon, Besanon, 168
Nancy, Strasbourg, 140
Nancy, Metz, 56
Dijon, Nancy, 192
Paris, Nancy, 307
Rouen, Boulogne, 179
Rouen, Le Mans, 194
Besanon, Strasbourg, 227
Paris, Metz, 313
Paris, Le Mans, 208
Paris, Rennes, 348
Paris, Rouen, 137
Paris, Caen, 221
Paris, Boulogne, 242
Paris, Lille, 219
Boulogne, Calais, 34
Lille, Dunkerque, 72
Rouen, Le Havre, 86
Caen, Cherbourg, 119
Rennes, St Brieuc, 97
St Brieuc, Brest, 146
Dumper, Vannes, 117
Vannes, Nantes, 109
Nantes, Bordeaux, 342
Bordeaux, Bayonne, 175
Bayonne, Pau, 107
Pau, Tolouse, 194
Tolouse, Narbonne, 147
Bordeaux, Tolouse, 250
Bordeaux, Clermont-Ferrand, 369
Narbonne, Perpignan, 62
Narbonne, Montpellier, 105
Montpellier, Nimes, 55
Nimes, Avignon, 53
Avignon, Aix, 117
Narbonne, Clermont-Ferrand, 403
Avignon, Lyon, 197
Lyon, St-Etienne, 59
Lyon, Clermont-Ferrand, 179
Le Mans, Angers, 89
Angers, Nantes, 87
Nantes, Poitiers, 178
Poitiers, Bordeaux, 227
Tours, Poitiers, 104
Poitiers, Montlucon, 200
Limoges, Orleans, 259
Tolouse, Limoges, 305
Tours, Le Mans, 80
Paris, Valenciennes, 206
Nice, Marseilles, 188
Montpellier, Marseilles, 157
Clermont-Ferrand, Paris, 386
Lyon, Paris, 475
Lyon, Montlucon, 227
Paris, Tours, 225
Paris, Orleans, 129
Dijon, Paris, 211
Paris, Reims, 153
